2664	103834	4
0	u376
1	m73
2	u309
3	u52
4	m145
5	u628
6	m1619
7	m183
8	u826
9	m296
10	u302
11	m986
12	u596
13	g1
14	m1384
15	m1348
16	m88
17	m1495
18	m668
19	m485
20	m824
21	m682
22	m341
23	u281
24	u378
25	m405
26	m206
27	m1283
28	u24
29	m175
30	m899
31	m956
32	u63
33	m827
34	u576
35	u888
36	u193
37	u6
38	m388
39	m238
40	u3
41	u574
42	m611
43	m549
44	m316
45	m1007
46	m583
47	m1022
48	m858
49	u745
50	u351
51	u311
52	u701
53	u787
54	m278
55	u104
56	m345
57	m199
58	u693
59	u62
60	m1333
61	m300
62	m1482
63	m467
64	u172
65	m1322
66	u155
67	m170
68	m1570
69	m1649
70	m617
71	u81
72	m1313
73	u23
74	m1647
75	m958
76	m471
77	m503
78	m1168
79	u620
80	m112
81	u723
82	u120
83	m966
84	u396
85	o17
86	m1244
87	m4
88	m1205
89	m536
90	m1353
91	m998
92	u499
93	u698
94	m1341
95	u667
96	m250
97	u37
98	u477
99	m1359
100	m663
101	m1332
102	m1303
103	m291
104	m239
105	m1013
106	m1546
107	u306
108	m697
109	u500
110	m1661
111	u617
112	m944
113	m142
114	m1588
115	m1045
116	u804
117	m332
118	m1289
119	m1662
120	m1500
121	g14
122	m1551
123	m1052
124	m102
125	m1187
126	m1454
127	m1028
128	u669
129	m295
130	u327
131	m456
132	m1082
133	u390
134	u691
135	u100
136	u824
137	m1327
138	u336
139	u353
140	m847
141	m209
142	m1658
143	u610
144	m750
145	u828
146	u66
147	m1445
148	m1006
149	m1095
150	m52
151	m171
152	u509
153	m1636
154	m220
155	m581
156	m890
157	u868
158	u213
159	u811
160	m793
161	u322
162	u881
163	m829
164	m822
165	u506
166	m938
167	m850
168	u321
169	u895
170	m722
171	m276
172	u345
173	m865
174	g18
175	u564
176	u383
177	m1234
178	u783
179	m259
180	m1497
181	m470
182	m185
183	m1582
184	u637
185	u678
186	m1170
187	u221
188	m1169
189	m93
190	m683
191	u562
192	m1116
